algorithm,optimal_result,iterations,time,trial
rhc,0.0,10,0.00399994850159,0
sa,1.0,10,0.000999927520752,0
ga,9.0,10,0.0170001983643,0
mimic,16.0,10,0.56299996376,0
rhc,3.0,1000,0.00300002098083,0
sa,2.0,1000,0.0019998550415,0
ga,22.0,1000,0.157999992371,0
mimic,81.0,1000,15.5020000935,0
rhc,25.0,5000,0.00200009346008,0
sa,8.0,5000,0.00300002098083,0
ga,27.0,5000,0.503000020981,0
mimic,177.0,5000,73.496999979,0
rhc,200.0,200000,0.0680000782013,0
sa,200.0,200000,0.158999919891,0
ga,200.0,200000,21.0880000591,0
mimic,200.0,200000,3425.50700021,0
rhc,0.0,10,0.000999927520752,1
sa,1.0,10,0.0,1
ga,12.0,10,0.00100016593933,1
mimic,17.0,10,0.269999980927,1
rhc,19.0,1000,0.0,1
sa,5.0,1000,0.000999927520752,1
ga,17.0,1000,0.101000070572,1
mimic,65.0,1000,15.6850001812,1
rhc,27.0,5000,0.000999927520752,1
sa,40.0,5000,0.0019998550415,1
ga,39.0,5000,0.505000114441,1
mimic,196.0,5000,74.243999958,1
rhc,200.0,200000,0.0730001926422,1
sa,200.0,200000,0.15499997139,1
ga,199.0,200000,24.1690001488,1
mimic,200.0,200000,3074.70899987,1
