algorithm,optimal_result,iterations,time,trial
rhc,2161.67930175,10,0.00600004196167,0
sa,2103.79449679,10,0.000999927520752,0
ga,2732.21766365,10,0.0149998664856,0
mimic,3550.31788263,10,0.15299987793,0
rhc,2266.08038979,30,0.0,0
sa,2569.42172732,30,0.000999927520752,0
ga,2900.17230793,30,0.00999999046326,0
mimic,3608.62014235,30,0.173000097275,0
rhc,2510.74287237,50,0.000999927520752,0
sa,2545.01674509,50,0.000999927520752,0
ga,3188.52812965,50,0.0139999389648,0
mimic,3620.79099439,50,0.172000169754,0
rhc,2647.49730478,70,0.0,0
sa,2885.07292931,70,0.0,0
ga,3262.4788061,70,0.00999999046326,0
mimic,3655.24973081,70,0.215000152588,0
rhc,2967.02174084,100,0.0,0
sa,2827.57497162,100,0.0,0
ga,3241.8167124,100,0.0130000114441,0
mimic,3673.46651926,100,0.215000152588,0
rhc,3119.42459786,150,0.0,0
sa,3023.47531654,150,0.0,0
ga,3435.64114297,150,0.0190000534058,0
mimic,3654.45466454,150,0.276999950409,0
rhc,3199.0592562,180,0.0,0
sa,3150.59564887,180,0.0,0
ga,3498.79137514,180,0.0210001468658,0
mimic,3597.49500923,180,0.360000133514,0
rhc,3250.24299634,200,0.0,0
sa,3136.70935001,200,0.00100016593933,0
ga,3374.47435964,200,0.0269999504089,0
mimic,3580.92731063,200,0.389999866486,0
rhc,3032.67968392,230,0.0,0
sa,3194.26121509,230,0.0,0
ga,3296.05375253,230,0.0309998989105,0
mimic,3599.61736161,230,0.457999944687,0
rhc,3030.11665453,250,0.0,0
sa,3311.00836112,250,0.0,0
ga,3361.69906153,250,0.0329999923706,0
mimic,3580.32088536,250,0.50400018692,0
rhc,3107.68233625,270,0.0,0
sa,3311.84212117,270,0.00100016593933,0
ga,3461.12367468,270,0.0319998264313,0
mimic,3562.42855425,270,0.549000024796,0
rhc,3273.22622465,300,0.00100016593933,0
sa,3509.1676859,300,0.0,0
ga,3491.43237947,300,0.0380001068115,0
mimic,3605.49178627,300,0.555000066757,0
rhc,3206.98161795,330,0.0,0
sa,3337.47672553,330,0.0,0
ga,3386.38806557,330,0.0469999313354,0
mimic,3600.95185174,330,0.605000019073,0
rhc,3382.66061793,350,0.0,0
sa,3206.49007781,350,0.000999927520752,0
ga,3521.0007899,350,0.0460000038147,0
mimic,3586.68239368,350,0.664999961853,0
rhc,3434.46189598,370,0.0,0
sa,3201.88592156,370,0.000999927520752,0
ga,3502.69421537,370,0.047000169754,0
mimic,3539.6699265,370,0.674999952316,0
rhc,3380.98963628,400,0.0,0
sa,3238.69000638,400,0.000999927520752,0
ga,3546.95948802,400,0.0490000247955,0
mimic,3653.53323046,400,0.768000125885,0
rhc,3275.66125799,430,0.0,0
sa,3287.91513479,430,0.000999927520752,0
ga,3412.90171956,430,0.0550000667572,0
mimic,3589.37760498,430,0.801000118256,0
