algorithm,optimal_result,iterations,time,trial
rhc,1571.00877221,10,0.00499987602234,0
sa,2019.24319107,10,0.0,0
ga,2613.75259942,10,0.010999917984,0
mimic,3107.10557811,10,0.0800001621246,0
rhc,2520.53367751,30,0.000999927520752,0
sa,2167.19639848,30,0.00100016593933,0
ga,2822.44572252,30,0.00699996948242,0
mimic,3239.16454816,30,0.126999855042,0
rhc,2427.55718645,50,0.0,0
sa,2613.34348868,50,0.0,0
ga,2928.27642432,50,0.0130000114441,0
mimic,3247.27612044,50,0.176000118256,0
rhc,2666.48795346,70,0.0,0
sa,2337.74273638,70,0.0,0
ga,2922.41008204,70,0.0090000629425,0
mimic,3275.33679685,70,0.182000160217,0
rhc,2529.61753031,100,0.0,0
sa,2734.18558825,100,0.0,0
ga,3023.34285986,100,0.0159997940063,0
mimic,3313.38012888,100,0.243000030518,0
rhc,2442.88205993,150,0.0,0
sa,2652.94635433,150,0.0,0
ga,2992.5520582,150,0.0190000534058,0
mimic,3236.59311773,150,0.276999950409,0
rhc,2476.20059556,180,0.0,0
sa,2678.5289624,180,0.00100016593933,0
ga,3014.58615293,180,0.0209999084473,0
mimic,3286.85151904,180,0.381000041962,0
rhc,2599.17195955,200,0.000999927520752,0
sa,2843.34984318,200,0.0,0
ga,3181.61156697,200,0.0230000019073,0
mimic,3187.78899327,200,0.378000020981,0
rhc,2794.32392423,230,0.0,0
sa,2660.7609798,230,0.000999927520752,0
ga,3088.78812728,230,0.0420000553131,0
mimic,3244.42925898,230,0.446999788284,0
rhc,2712.16498792,250,0.00100016593933,0
sa,2701.03761543,250,0.0,0
ga,3102.76819528,250,0.0299999713898,0
mimic,3215.77454652,250,0.498000144958,0
rhc,2391.33625293,270,0.0,0
sa,2462.72319258,270,0.0,0
ga,3141.84126866,270,0.0309998989105,0
mimic,3207.91954388,270,0.496999979019,0
rhc,2686.28940722,300,0.0,0
sa,2716.60975867,300,0.0,0
ga,3106.69560527,300,0.0349998474121,0
mimic,3276.3138754,300,0.578999996185,0
rhc,2143.18309976,10,0.0,1
sa,1528.90389341,10,0.00100016593933,1
ga,2600.94539527,10,0.0019998550415,1
mimic,2987.14725903,10,0.029000043869,1
rhc,2081.67592688,30,0.0,1
sa,2418.76503538,30,0.0,1
ga,2807.12541454,30,0.00400018692017,1
mimic,3315.23144461,30,0.0699999332428,1
rhc,2502.548513,50,0.000999927520752,1
sa,2505.51502025,50,0.0,1
ga,2902.36805671,50,0.007000207901,1
mimic,3190.27393167,50,0.109999895096,1
rhc,2833.46653819,70,0.000999927520752,1
sa,2426.26113032,70,0.00100016593933,1
ga,2913.26003921,70,0.00999999046326,1
mimic,3239.81369175,70,0.146999835968,1
rhc,2663.4606587,100,0.0,1
sa,2668.4835301,100,0.0,1
ga,3016.31825806,100,0.0120000839233,1
mimic,3215.90268744,100,0.19000005722,1
rhc,2766.31237124,150,0.0,1
sa,2744.05548447,150,0.0,1
ga,3053.09505794,150,0.018000125885,1
mimic,3280.26104437,150,0.31500005722,1
rhc,2613.8992672,180,0.000999927520752,1
sa,2555.44095494,180,0.0,1
ga,3018.97283063,180,0.0199999809265,1
mimic,3317.55459389,180,0.338999986649,1
rhc,2427.0821891,200,0.0,1
sa,2812.72996623,200,0.0,1
ga,3105.0017273,200,0.0230000019073,1
mimic,3193.39226222,200,0.384000062943,1
rhc,2416.08744866,230,0.000999927520752,1
sa,2907.30095683,230,0.000999927520752,1
ga,3154.39074292,230,0.0270001888275,1
mimic,3268.15717271,230,0.463999986649,1
rhc,2509.50899762,250,0.0,1
sa,2708.49721648,250,0.000999927520752,1
ga,3207.1783164,250,0.0280001163483,1
mimic,3266.19194431,250,0.465000152588,1
rhc,2704.42369941,270,0.0,1
sa,2612.87698924,270,0.0,1
ga,3038.93078056,270,0.0329999923706,1
mimic,3278.36202465,270,0.480000019073,1
rhc,2833.444198,300,0.00100016593933,1
sa,2799.741748,300,0.000999927520752,1
ga,3138.68741185,300,0.0490000247955,1
mimic,3233.95956882,300,0.558000087738,1
rhc,2004.77791165,10,0.0,2
sa,2078.99186529,10,0.0,2
ga,2669.89473602,10,0.000999927520752,2
mimic,3045.06412386,10,0.0309998989105,2
rhc,2548.93184082,30,0.000999927520752,2
sa,2148.29802227,30,0.0,2
ga,2875.68903987,30,0.00400018692017,2
mimic,3232.83748322,30,0.0679998397827,2
rhc,2479.59927136,50,0.00100016593933,2
sa,2490.63770108,50,0.000999927520752,2
ga,2959.32496012,50,0.00800013542175,2
mimic,3272.00760157,50,0.141000032425,2
rhc,2385.50936333,70,0.0,2
sa,2813.70663445,70,0.0,2
ga,2920.39655694,70,0.0090000629425,2
mimic,3250.65178521,70,0.140000104904,2
rhc,2524.62822881,100,0.0,2
sa,2748.95096638,100,0.000999927520752,2
ga,3085.78654899,100,0.0130000114441,2
mimic,3287.67230515,100,0.200999975204,2
rhc,2706.24073241,150,0.0,2
sa,2781.63700907,150,0.000999927520752,2
ga,3069.83115226,150,0.0210001468658,2
mimic,3187.5407932,150,0.305999994278,2
