algorithm,optimal_result,iterations,time,trial
rhc,7777.46157634,10,0.00500011444092,0
sa,6409.14458983,10,0.0,0
ga,7875.23966835,10,0.0250000953674,0
mimic,10768.1028512,10,0.486000061035,0
rhc,6885.66341929,30,0.0,0
sa,5886.70709039,30,0.0,0
ga,8768.15473587,30,0.021999835968,0
mimic,11864.1579199,30,0.651000022888,0
rhc,6944.08708123,50,0.000999927520752,0
sa,6373.87886372,50,0.0,0
ga,8841.1916004,50,0.0190000534058,0
mimic,12241.1359184,50,0.931999921799,0
rhc,7098.94189915,70,0.0,0
sa,7016.84521185,70,0.0,0
ga,9612.00294917,70,0.0230000019073,0
mimic,12243.147089,70,1.3220000267,0
rhc,8325.84664961,100,0.000999927520752,0
sa,7693.05213663,100,0.0,0
ga,9263.74374312,100,0.0320000648499,0
mimic,12235.8766401,100,1.71199989319,0
rhc,9431.88190611,150,0.0,0
sa,8250.58277094,150,0.0,0
ga,9779.69522857,150,0.0469999313354,0
mimic,12225.1394921,150,2.36999988556,0
rhc,9257.06226198,180,0.000999927520752,0
sa,8927.87097243,180,0.0,0
ga,9617.00371163,180,0.055999994278,0
mimic,12139.1897462,180,2.8140001297,0
rhc,9288.26984661,200,0.0,0
sa,8936.27844959,200,0.0,0
ga,10109.483269,200,0.063000202179,0
mimic,12272.1823082,200,3.02099990845,0
rhc,10095.7513708,230,0.0,0
sa,9189.20207768,230,0.0,0
ga,10114.2556971,230,0.0710000991821,0
mimic,12312.8528711,230,3.54500007629,0
rhc,9449.44656376,250,0.0,0
sa,9616.40848589,250,0.0,0
ga,9963.90433449,250,0.085000038147,0
mimic,12269.4711168,250,3.82499980927,0
rhc,10115.8284052,270,0.0,0
sa,9655.12826423,270,0.0,0
ga,9699.93238894,270,0.0859999656677,0
mimic,12222.918974,270,4.03299999237,0
rhc,10249.6272047,300,0.0,0
sa,9726.81182847,300,0.000999927520752,0
ga,10182.6811044,300,0.0950000286102,0
mimic,12194.659515,300,4.46499991417,0
rhc,9981.44170458,330,0.0,0
sa,9822.13230848,330,0.0,0
ga,10172.62892,330,0.111999988556,0
mimic,12287.7797375,330,4.82099986076,0
rhc,10835.710183,350,0.0,0
sa,10333.8743196,350,0.0,0
ga,10307.533597,350,0.108999967575,0
mimic,12253.1899256,350,5.21799993515,0
rhc,10748.8723531,370,0.0,0
sa,10341.3022417,370,0.0,0
ga,10150.0552883,370,0.115999937057,0
mimic,12019.1294811,370,5.50200009346,0
rhc,10723.1404392,400,0.000999927520752,0
sa,9992.68284564,400,0.00100016593933,0
ga,10624.2792257,400,0.129999876022,0
mimic,12185.1792238,400,5.92499995232,0
rhc,11238.984188,430,0.0019998550415,0
sa,10858.8352284,430,0.0,0
ga,10161.998282,430,0.132999897003,0
mimic,12176.0050715,430,6.29600000381,0
rhc,10975.2842962,450,0.0,0
sa,10908.4822969,450,0.0,0
ga,10199.631385,450,0.146000146866,0
mimic,12218.7820812,450,6.5039999485,0
rhc,10569.8343438,470,0.0,0
sa,10470.2609231,470,0.000999927520752,0
ga,10465.4022112,470,0.150000095367,0
mimic,12085.1014827,470,6.8109998703,0
rhc,10678.6287277,500,0.0,0
sa,10804.0045003,500,0.000999927520752,0
