algorithm,optimal_result,iterations,time,trial
rhc,0.0,10,0.00499987602234,0
sa,0.0,10,0.0,0
ga,7.0,10,0.0179998874664,0
mimic,15.0,10,0.748999834061,0
rhc,1.0,30,0.000999927520752,0
sa,1.0,30,0.0,0
ga,18.0,30,0.0220000743866,0
mimic,15.0,30,0.784999847412,0
rhc,3.0,50,0.0,0
sa,2.0,50,0.000999927520752,0
ga,11.0,50,0.0169999599457,0
mimic,29.0,50,1.24699997902,0
rhc,8.0,70,0.0,0
sa,3.0,70,0.0,0
ga,13.0,70,0.0160000324249,0
mimic,38.0,70,1.50699996948,0
rhc,0.0,100,0.0,0
sa,2.0,100,0.0,0
ga,13.0,100,0.0150001049042,0
mimic,28.0,100,2.12400007248,0
rhc,1.0,150,0.0,0
sa,0.0,150,0.0,0
ga,11.0,150,0.0190000534058,0
mimic,44.0,150,4.03399991989,0
rhc,0.0,180,0.000999927520752,0
sa,2.0,180,0.000999927520752,0
ga,11.0,180,0.0429999828339,0
mimic,22.0,180,4.73699998856,0
rhc,2.0,200,0.000999927520752,0
sa,2.0,200,0.0,0
ga,14.0,200,0.0240001678467,0
mimic,34.0,200,4.64299988747,0
rhc,2.0,230,0.000999927520752,0
sa,0.0,230,0.000999927520752,0
ga,22.0,230,0.0490000247955,0
mimic,30.0,230,6.81900000572,0
rhc,2.0,250,0.0,0
sa,1.0,250,0.000999927520752,0
ga,11.0,250,0.0490000247955,0
mimic,54.0,250,6.28600001335,0
rhc,7.0,270,0.0,0
sa,1.0,270,0.0,0
ga,13.0,270,0.0390000343323,0
mimic,31.0,270,6.75,0
rhc,7.0,300,0.0,0
sa,2.0,300,0.00100016593933,0
ga,13.0,300,0.0449998378754,0
mimic,50.0,300,7.3599998951,0
rhc,1.0,330,0.000999927520752,0
sa,2.0,330,0.000999927520752,0
ga,12.0,330,0.0460000038147,0
mimic,51.0,330,7.2990000248,0
rhc,2.0,350,0.0,0
sa,1.0,350,0.0,0
ga,12.0,350,0.0480000972748,0
mimic,44.0,350,8.29299998283,0
rhc,2.0,370,0.0,0
sa,3.0,370,0.000999927520752,0
ga,16.0,370,0.0510001182556,0
mimic,37.0,370,8.17899990082,0
rhc,2.0,400,0.0019998550415,0
sa,2.0,400,0.000999927520752,0
ga,20.0,400,0.0520000457764,0
mimic,43.0,400,9.42599987984,0
rhc,4.0,430,0.0,0
sa,0.0,430,0.0,0
ga,17.0,430,0.0599999427795,0
mimic,26.0,430,9.61199998856,0
rhc,2.0,450,0.0,0
sa,0.0,450,0.0,0
ga,10.0,450,0.0650000572205,0
mimic,44.0,450,10.5199999809,0
rhc,4.0,470,0.000999927520752,0
sa,1.0,470,0.0,0
ga,15.0,470,0.055999994278,0
mimic,42.0,470,10.6719999313,0
rhc,1.0,500,0.0,0
sa,0.0,500,0.000999927520752,0
ga,18.0,500,0.0680000782013,0
mimic,60.0,500,10.3990001678,0
rhc,7.0,10,0.0,1
sa,1.0,10,0.0,1
ga,10.0,10,0.00200009346008,1
mimic,26.0,10,0.324000120163,1
rhc,3.0,30,0.0,1
sa,3.0,30,0.00100016593933,1
ga,9.0,30,0.00399994850159,1
mimic,13.0,30,0.773999929428,1
rhc,3.0,50,0.0,1
sa,1.0,50,0.0,1
ga,11.0,50,0.00600004196167,1
mimic,21.0,50,1.1320002079,1
rhc,2.0,70,0.0,1
sa,2.0,70,0.0,1
ga,13.0,70,0.00999999046326,1
mimic,20.0,70,1.44400000572,1
rhc,1.0,100,0.0,1
sa,3.0,100,0.0,1
ga,9.0,100,0.0139999389648,1
mimic,24.0,100,1.95799994469,1
rhc,0.0,150,0.0,1
sa,0.0,150,0.0,1
ga,17.0,150,0.0240001678467,1
mimic,25.0,150,2.99699997902,1
rhc,4.0,180,0.0,1
sa,3.0,180,0.000999927520752,1
ga,17.0,180,0.0199999809265,1
mimic,37.0,180,3.86099982262,1
rhc,5.0,200,0.00100016593933,1
sa,0.0,200,0.000999927520752,1
ga,7.0,200,0.0280001163483,1
mimic,29.0,200,4.14700007439,1
rhc,1.0,230,0.0,1
sa,2.0,230,0.0,1
ga,16.0,230,0.0249998569489,1
mimic,41.0,230,4.51699995995,1
rhc,3.0,250,0.000999927520752,1
sa,0.0,250,0.0,1
ga,14.0,250,0.0299999713898,1
mimic,35.0,250,5.10700011253,1
rhc,0.0,270,0.0,1
sa,4.0,270,0.0,1
ga,14.0,270,0.0360000133514,1
mimic,36.0,270,5.61999988556,1
rhc,1.0,300,0.00100016593933,1
sa,1.0,300,0.0,1
ga,19.0,300,0.0369999408722,1
mimic,28.0,300,6.11899995804,1
rhc,2.0,330,0.0,1
sa,1.0,330,0.000999927520752,1
ga,15.0,330,0.0380001068115,1
mimic,48.0,330,5.81500005722,1
rhc,1.0,350,0.0,1
sa,0.0,350,0.0,1
ga,15.0,350,0.0349998474121,1
mimic,59.0,350,6.05000019073,1
rhc,10.0,370,0.0,1
sa,1.0,370,0.00300002098083,1
ga,12.0,370,0.0460000038147,1
mimic,43.0,370,6.59899997711,1
rhc,8.0,400,0.0,1
sa,1.0,400,0.0,1
ga,18.0,400,0.0440001487732,1
mimic,32.0,400,6.76099991798,1
rhc,7.0,430,0.0,1
sa,1.0,430,0.0,1
ga,21.0,430,0.0480000972748,1
mimic,49.0,430,6.92000007629,1
rhc,6.0,450,0.0,1
sa,0.0,450,0.0,1
ga,14.0,450,0.0479998588562,1
mimic,72.0,450,7.27400016785,1
rhc,1.0,470,0.0,1
sa,3.0,470,0.0,1
ga,17.0,470,0.058000087738,1
mimic,47.0,470,8.07399988174,1
rhc,5.0,500,0.0,1
sa,1.0,500,0.0,1
ga,18.0,500,0.0590000152588,1
mimic,39.0,500,8.03099989891,1
rhc,2.0,10,0.0,2
sa,0.0,10,0.0,2
ga,8.0,10,0.0019998550415,2
mimic,28.0,10,0.276000022888,2
rhc,2.0,30,0.00100016593933,2
sa,1.0,30,0.0,2
ga,12.0,30,0.00699996948242,2
mimic,22.0,30,0.616999864578,2
rhc,1.0,50,0.0,2
sa,3.0,50,0.0,2
ga,12.0,50,0.00699996948242,2
mimic,20.0,50,0.898000001907,2
rhc,2.0,70,0.00100016593933,2
sa,2.0,70,0.00100016593933,2
ga,13.0,70,0.00999999046326,2
mimic,23.0,70,1.19899988174,2
rhc,1.0,100,0.000999927520752,2
sa,6.0,100,0.0,2
ga,9.0,100,0.0130000114441,2
mimic,34.0,100,1.75199985504,2
rhc,3.0,150,0.0,2
sa,3.0,150,0.0,2
ga,8.0,150,0.0160000324249,2
