algorithm,optimal_result,iterations,time,trial
rhc,704.704584358,10,0.00600004196167,0
sa,627.67694831,10,0.000999927520752,0
ga,1309.13810308,10,0.0150001049042,0
mimic,1394.61906626,10,0.0579998493195,0
rhc,1064.76053076,30,0.0,0
sa,700.01049595,30,0.0,0
ga,1322.92125675,30,0.00499987602234,0
mimic,1406.32770652,30,0.0709998607635,0
rhc,1083.08047142,50,0.0,0
sa,939.302335551,50,0.0,0
ga,1340.57777037,50,0.0090000629425,0
mimic,1398.99528949,50,0.0810000896454,0
rhc,1089.06015577,70,0.0,0
sa,1262.04440305,70,0.000999927520752,0
ga,1392.63043418,70,0.0130000114441,0
mimic,1367.37956862,70,0.108000040054,0
rhc,1233.04219417,100,0.0,0
sa,1233.01898457,100,0.0,0
ga,1351.02444167,100,0.0120000839233,0
mimic,1414.85171441,100,0.095999956131,0
rhc,1046.12431925,150,0.000999927520752,0
sa,1335.91522109,150,0.00100016593933,0
ga,1382.80880433,150,0.0160000324249,0
mimic,1399.48028944,150,0.171000003815,0
rhc,1041.03933126,180,0.00100016593933,0
sa,1239.26692772,180,0.000999927520752,0
ga,1401.91503732,180,0.0220000743866,0
mimic,1412.13932282,180,0.206000089645,0
rhc,1155.32719246,200,0.0,0
sa,1177.95240586,200,0.0,0
ga,1392.98716528,200,0.0160000324249,0
mimic,1402.01528847,200,0.141999959946,0
rhc,1095.69009024,230,0.0,0
sa,1343.35327402,230,0.000999927520752,0
ga,1395.13846922,230,0.0190000534058,0
mimic,1400.09448842,230,0.188000202179,0
rhc,1125.85896678,250,0.000999927520752,0
sa,1364.78145827,250,0.0,0
ga,1370.67067196,250,0.0319998264313,0
mimic,1405.08897798,250,0.203999996185,0
rhc,1288.75827221,270,0.0,0
sa,1313.29614848,270,0.0,0
ga,1394.91952227,270,0.0220000743866,0
mimic,1412.21139076,270,0.192999839783,0
rhc,1287.52330268,300,0.0,0
sa,1332.01713876,300,0.0,0
ga,1385.27372752,300,0.0329999923706,0
