algorithm,optimal_result,iterations,time,trial
rhc,5.0,10,0.00400018692017,0
sa,5.0,10,0.0,0
ga,72.0,10,0.00999999046326,0
mimic,76.0,10,0.0889999866486,0
rhc,5.0,30,0.0,0
sa,5.0,30,0.0,0
ga,78.0,30,0.00800013542175,0
mimic,89.0,30,0.111999988556,0
rhc,69.0,50,0.0,0
sa,6.0,50,0.0,0
ga,81.0,50,0.0130000114441,0
mimic,86.0,50,0.144000053406,0
rhc,7.0,70,0.0,0
sa,12.0,70,0.0,0
ga,72.0,70,0.00699996948242,0
mimic,85.0,70,0.148999929428,0
rhc,69.0,100,0.00100016593933,0
sa,6.0,100,0.0,0
ga,81.0,100,0.00799989700317,0
mimic,76.0,100,0.223000049591,0
rhc,73.0,150,0.0,0
sa,10.0,150,0.0,0
ga,79.0,150,0.0160000324249,0
mimic,98.0,150,0.280000209808,0
rhc,19.0,180,0.0,0
sa,6.0,180,0.0,0
ga,79.0,180,0.0139999389648,0
mimic,80.0,180,0.391999959946,0
rhc,76.0,200,0.000999927520752,0
sa,5.0,200,0.0,0
ga,81.0,200,0.0160000324249,0
mimic,103.0,200,0.401999950409,0
rhc,21.0,230,0.000999927520752,0
sa,7.0,230,0.0,0
ga,78.0,230,0.0320000648499,0
mimic,91.0,230,0.420000076294,0
rhc,11.0,250,0.0,0
sa,7.0,250,0.00100016593933,0
ga,80.0,250,0.0189998149872,0
mimic,93.0,250,0.488000154495,0
rhc,12.0,270,0.0,0
sa,6.0,270,0.0,0
ga,74.0,270,0.0199999809265,0
mimic,92.0,270,0.487999916077,0
rhc,12.0,300,0.0,0
sa,5.0,300,0.0,0
ga,79.0,300,0.0210001468658,0
mimic,106.0,300,0.549000024796,0
rhc,5.0,10,0.0,1
sa,6.0,10,0.0,1
ga,73.0,10,0.00100016593933,1
mimic,85.0,10,0.029000043869,1
rhc,68.0,30,0.000999927520752,1
sa,6.0,30,0.0,1
ga,86.0,30,0.00300002098083,1
mimic,81.0,30,0.0620000362396,1
rhc,9.0,50,0.0,1
sa,6.0,50,0.0,1
ga,82.0,50,0.00500011444092,1
mimic,79.0,50,0.111000061035,1
rhc,7.0,70,0.000999927520752,1
sa,11.0,70,0.000999927520752,1
ga,80.0,70,0.00699996948242,1
mimic,90.0,70,0.132999897003,1
rhc,11.0,100,0.0,1
sa,8.0,100,0.0,1
ga,77.0,100,0.00999999046326,1
mimic,91.0,100,0.192000150681,1
rhc,69.0,150,0.0,1
sa,10.0,150,0.0,1
ga,87.0,150,0.0120000839233,1
mimic,96.0,150,0.302999973297,1
rhc,76.0,180,0.0,1
sa,5.0,180,0.0,1
ga,75.0,180,0.0140001773834,1
mimic,83.0,180,0.338999986649,1
rhc,79.0,200,0.0,1
sa,5.0,200,0.00100016593933,1
ga,82.0,200,0.0190000534058,1
mimic,92.0,200,0.37299990654,1
rhc,28.0,230,0.0,1
sa,6.0,230,0.0,1
ga,86.0,230,0.0170001983643,1
mimic,85.0,230,0.447999954224,1
rhc,74.0,250,0.0,1
