algorithm,optimal_result,iterations,time,trial
rhc,43.0,10,0.00499987602234,0
sa,47.0,10,0.000999927520752,0
ga,50.0,10,0.00699996948242,0
mimic,65.0,10,0.0810000896454,0
rhc,46.0,30,0.0,0
sa,46.0,30,0.0,0
ga,45.0,30,0.0019998550415,0
mimic,71.0,30,0.118999958038,0
rhc,54.0,50,0.000999927520752,0
sa,41.0,50,0.0,0
ga,55.0,50,0.00200009346008,0
mimic,73.0,50,0.223999977112,0
rhc,57.0,70,0.0,0
sa,40.0,70,0.000999927520752,0
ga,51.0,70,0.00500011444092,0
mimic,75.0,70,0.147000074387,0
rhc,59.0,100,0.0,0
sa,38.0,100,0.0,0
ga,48.0,100,0.00100016593933,0
mimic,78.0,100,0.174999952316,0
rhc,63.0,150,0.00100016593933,0
sa,51.0,150,0.000999927520752,0
ga,48.0,150,0.00100016593933,0
mimic,78.0,150,0.283999919891,0
rhc,65.0,180,0.00100016593933,0
sa,65.0,180,0.0,0
ga,46.0,180,0.00200009346008,0
mimic,79.0,180,0.30999994278,0
rhc,71.0,200,0.0,0
sa,61.0,200,0.0,0
ga,47.0,200,0.00200009346008,0
mimic,80.0,200,0.378999948502,0
rhc,72.0,230,0.000999927520752,0
sa,66.0,230,0.00100016593933,0
ga,53.0,230,0.0019998550415,0
mimic,80.0,230,0.408999919891,0
rhc,77.0,250,0.0,0
sa,66.0,250,0.0,0
ga,53.0,250,0.0019998550415,0
mimic,79.0,250,0.543999910355,0
rhc,76.0,270,0.0,0
sa,60.0,270,0.0,0
ga,49.0,270,0.00300002098083,0
mimic,79.0,270,0.480999946594,0
rhc,72.0,300,0.00100016593933,0
sa,70.0,300,0.0,0
ga,46.0,300,0.00200009346008,0
mimic,80.0,300,0.651999950409,0
rhc,44.0,10,0.0,1
sa,38.0,10,0.0,1
ga,48.0,10,0.0,1
mimic,62.0,10,0.0239999294281,1
rhc,46.0,30,0.0,1
sa,40.0,30,0.0,1
ga,46.0,30,0.0,1
mimic,72.0,30,0.0599999427795,1
rhc,55.0,50,0.0,1
sa,41.0,50,0.0,1
ga,45.0,50,0.000999927520752,1
mimic,73.0,50,0.100000143051,1
rhc,52.0,70,0.0,1
sa,47.0,70,0.0,1
ga,55.0,70,0.00100016593933,1
mimic,76.0,70,0.12299990654,1
rhc,58.0,100,0.0,1
sa,39.0,100,0.0,1
ga,47.0,100,0.000999927520752,1
mimic,77.0,100,0.170000076294,1
rhc,63.0,150,0.0,1
sa,55.0,150,0.0,1
ga,43.0,150,0.00599980354309,1
mimic,79.0,150,0.259999990463,1
rhc,61.0,180,0.0,1
sa,63.0,180,0.0,1
ga,43.0,180,0.000999927520752,1
mimic,78.0,180,0.31200003624,1
rhc,74.0,200,0.0,1
sa,65.0,200,0.000999927520752,1
ga,41.0,200,0.00399994850159,1
mimic,79.0,200,0.346999883652,1
rhc,72.0,230,0.0,1
sa,67.0,230,0.0,1
ga,45.0,230,0.00100016593933,1
mimic,78.0,230,0.450000047684,1
rhc,73.0,250,0.0,1
sa,71.0,250,0.0,1
ga,47.0,250,0.0019998550415,1
mimic,80.0,250,0.412000179291,1
rhc,66.0,270,0.0,1
sa,64.0,270,0.0,1
ga,53.0,270,0.00200009346008,1
mimic,79.0,270,0.47000002861,1
rhc,77.0,300,0.0,1
sa,72.0,300,0.000999927520752,1
ga,50.0,300,0.00200009346008,1
mimic,78.0,300,0.500999927521,1
rhc,48.0,10,0.0,2
sa,47.0,10,0.0,2
ga,49.0,10,0.000999927520752,2
mimic,61.0,10,0.0240001678467,2
rhc,47.0,30,0.0,2
sa,30.0,30,0.0,2
ga,52.0,30,0.000999927520752,2
mimic,71.0,30,0.0670001506805,2
rhc,54.0,50,0.0,2
sa,39.0,50,0.0,2
ga,47.0,50,0.00100016593933,2
mimic,75.0,50,0.0909998416901,2
rhc,57.0,70,0.0,2
sa,36.0,70,0.0,2
ga,52.0,70,0.000999927520752,2
mimic,76.0,70,0.125,2
rhc,62.0,100,0.0,2
sa,50.0,100,0.0,2
ga,43.0,100,0.000999927520752,2
mimic,78.0,100,0.169000148773,2
rhc,63.0,150,0.000999927520752,2
sa,61.0,150,0.0,2
ga,50.0,150,0.000999927520752,2
mimic,79.0,150,0.295000076294,2
rhc,66.0,180,0.0,2
sa,55.0,180,0.0,2
ga,53.0,180,0.000999927520752,2
mimic,76.0,180,0.299999952316,2
rhc,71.0,200,0.0,2
sa,66.0,200,0.0,2
ga,45.0,200,0.00100016593933,2
mimic,79.0,200,0.398000001907,2
rhc,69.0,230,0.000999927520752,2
sa,62.0,230,0.0,2
ga,46.0,230,0.00300002098083,2
mimic,78.0,230,0.453000068665,2
rhc,69.0,250,0.000999927520752,2
sa,62.0,250,0.0,2
ga,45.0,250,0.00200009346008,2
mimic,79.0,250,0.451999902725,2
rhc,72.0,270,0.0,2
sa,69.0,270,0.0,2
ga,41.0,270,0.00200009346008,2
mimic,79.0,270,0.436000108719,2
rhc,77.0,300,0.0,2
sa,67.0,300,0.0,2
ga,35.0,300,0.00200009346008,2
mimic,80.0,300,0.490999937057,2
rhc,45.0,10,0.0,3
sa,35.0,10,0.0,3
ga,51.0,10,0.00100016593933,3
mimic,69.0,10,0.0230000019073,3
rhc,51.0,30,0.0,3
sa,41.0,30,0.0,3
ga,50.0,30,0.000999927520752,3
mimic,71.0,30,0.055999994278,3
rhc,43.0,50,0.0,3
sa,46.0,50,0.0,3
ga,52.0,50,0.000999927520752,3
mimic,79.0,50,0.0899999141693,3
rhc,56.0,70,0.0,3
sa,46.0,70,0.0,3
ga,49.0,70,0.0,3
mimic,77.0,70,0.12299990654,3
rhc,61.0,100,0.000999927520752,3
sa,51.0,100,0.0,3
ga,48.0,100,0.00100016593933,3
mimic,77.0,100,0.199999809265,3
rhc,66.0,150,0.0,3
sa,47.0,150,0.0,3
ga,52.0,150,0.000999927520752,3
mimic,78.0,150,0.25200009346,3
rhc,65.0,180,0.0,3
sa,64.0,180,0.000999927520752,3
ga,44.0,180,0.000999927520752,3
mimic,78.0,180,0.295000076294,3
rhc,70.0,200,0.0,3
sa,67.0,200,0.0,3
ga,52.0,200,0.000999927520752,3
mimic,78.0,200,0.332000017166,3
rhc,67.0,230,0.0,3
sa,67.0,230,0.0,3
ga,50.0,230,0.0019998550415,3
mimic,79.0,230,0.388000011444,3
rhc,69.0,250,0.0,3
sa,68.0,250,0.000999927520752,3
ga,48.0,250,0.0019998550415,3
mimic,79.0,250,0.458000183105,3
rhc,70.0,270,0.0,3
sa,66.0,270,0.0,3
ga,50.0,270,0.00600004196167,3
mimic,79.0,270,0.447000026703,3
rhc,73.0,300,0.0,3
sa,69.0,300,0.00100016593933,3
ga,53.0,300,0.0019998550415,3
mimic,80.0,300,0.496999979019,3
rhc,44.0,10,0.0,4
sa,46.0,10,0.0,4
ga,48.0,10,0.0,4
mimic,67.0,10,0.0239999294281,4
rhc,54.0,30,0.0,4
sa,44.0,30,0.0,4
ga,52.0,30,0.00100016593933,4
mimic,74.0,30,0.0569999217987,4
rhc,53.0,50,0.0,4
sa,37.0,50,0.0,4
ga,48.0,50,0.0,4
mimic,75.0,50,0.0870001316071,4
rhc,49.0,70,0.0,4
sa,40.0,70,0.0,4
ga,43.0,70,0.000999927520752,4
mimic,76.0,70,0.12700009346,4
rhc,65.0,100,0.000999927520752,4
sa,43.0,100,0.0,4
ga,47.0,100,0.000999927520752,4
mimic,76.0,100,0.175000190735,4
rhc,64.0,150,0.0,4
sa,55.0,150,0.0,4
ga,49.0,150,0.00200009346008,4
mimic,78.0,150,0.264999866486,4
rhc,70.0,180,0.0,4
sa,59.0,180,0.0,4
ga,53.0,180,0.00300002098083,4
mimic,80.0,180,0.30999994278,4
rhc,71.0,200,0.0,4
sa,63.0,200,0.000999927520752,4
ga,49.0,200,0.00100016593933,4
mimic,79.0,200,0.352999925613,4
rhc,72.0,230,0.0,4
sa,62.0,230,0.000999927520752,4
ga,41.0,230,0.00200009346008,4
mimic,78.0,230,0.446000099182,4
rhc,68.0,250,0.0,4
sa,66.0,250,0.0,4
ga,46.0,250,0.00200009346008,4
mimic,80.0,250,0.486999988556,4
rhc,78.0,270,0.0,4
sa,69.0,270,0.0,4
ga,47.0,270,0.00200009346008,4
mimic,80.0,270,0.476999998093,4
rhc,72.0,300,0.0,4
